Date and time	IR	RED	Glucose  mg/dL
6/27/2026 21:49:54	262143	262143	88.6
6/27/2026 21:49:57	262143	262143	88.6
6/27/2026 21:50:01	262143	262143	88.6
6/27/2026 21:50:04	262143	262143	88.6
6/27/2026 21:50:07	262143	262143	88.6
6/27/2026 21:50:09	262143	262143	88.6
6/27/2026 21:50:12	262143	262143	88.6
6/27/2026 21:50:16	262143	262143	88.6
6/27/2026 21:50:19	262143	262143	88.6
6/27/2026 21:50:21	262143	262143	88.6
6/27/2026 21:50:24	262143	262143	88.6
6/27/2026 21:50:27	262143	262143	88.6
6/27/2026 21:50:31	262143	262143	88.6
6/27/2026 21:50:34	262143	262143	88.6
6/27/2026 21:50:36	262143	262143	88.6
6/27/2026 21:50:40	262143	262143	88.6
6/27/2026 21:50:43	262143	262143	88.6
6/27/2026 21:50:47	262143	262143	88.6
6/27/2026 21:50:50	262143	262143	88.6
6/27/2026 21:50:53	262143	262143	88.6
6/27/2026 21:50:56	262143	262143	88.6
6/27/2026 21:51:02	262143	262143	88.6
6/27/2026 21:51:05	262143	262143	88.6
6/27/2026 21:51:08	262143	262143	88.6
6/27/2026 21:51:11	262143	262143	88.6
6/27/2026 21:51:17	262143	262143	88.6
6/27/2026 21:51:19	262143	262143	88.6
6/27/2026 21:51:22	262143	262143	88.6
6/27/2026 21:51:25	262143	262143	88.6
6/27/2026 21:51:29	262143	262143	88.6
6/27/2026 21:51:32	262143	262143	88.6
6/27/2026 21:51:35	262143	262143	88.6
6/27/2026 21:51:38	262143	262143	88.6
6/27/2026 21:51:41	262143	262143	88.6
6/27/2026 21:51:45	262143	262143	88.6
6/27/2026 21:51:49	262143	262143	88.6
6/27/2026 21:51:52	262143	262143	88.6
6/27/2026 21:51:55	262143	262143	88.6
6/27/2026 21:51:58	262143	262143	88.6
6/27/2026 21:52:12	262143	262143	88.6
6/27/2026 21:52:15	262143	262143	88.6
6/27/2026 21:52:18	262143	262143	88.6
6/27/2026 21:52:21	262143	262143	88.6
6/27/2026 21:52:24	262143	262143	88.6
6/27/2026 21:52:27	262143	262143	88.6
6/27/2026 21:52:30	262143	262143	88.6
6/27/2026 21:55:02	262143	262143	88.6
6/27/2026 21:55:06	262143	262143	88.6
6/27/2026 21:55:10	262143	262143	88.6
6/27/2026 21:55:13	80488	112963	99.34166667
6/27/2026 21:55:16	262143	262143	88.6
6/27/2026 21:55:19	262143	262143	88.6
6/27/2026 21:55:22	262143	262143	88.6
6/27/2026 21:55:25	262143	262143	88.6
6/27/2026 21:55:28	262143	262143	88.6
6/27/2026 21:55:31	262143	262143	88.6
6/27/2026 21:55:34	262143	262143	88.6
6/27/2026 21:55:36	262143	262143	88.6
6/27/2026 21:55:39	262143	262143	88.6
6/27/2026 21:55:42	262143	262143	88.6
6/27/2026 21:56:08	79103	86476	91.94666667
6/27/2026 21:56:11	98855	88458	92.94
6/27/2026 21:56:15	100944	89264	144.4119048
6/27/2026 21:56:18	99634	88891	97.81
6/27/2026 21:56:22	99536	88893	102.7
6/27/2026 21:56:25	96806	87767	212.4
6/27/2026 21:56:28	99665	88933	97.55
6/27/2026 21:56:31	97536	88091	182.26
6/27/2026 21:56:34	95599	87350	110.9251786
6/27/2026 21:56:37	95243	87076	176.4
6/27/2026 21:56:40	98073	88369	146.05
6/27/2026 21:56:44	100318	89177	90.51919048
6/27/2026 21:56:47	98758	88808	281.89
6/27/2026 21:56:49	95674	87298	167.6624762
6/27/2026 21:56:52	97034	88173	125.55
6/27/2026 21:56:55	97395	88355	212.4
6/27/2026 21:56:58	94656	87200	111.2303333
6/27/2026 21:57:01	94544	87278	160.0590285
6/27/2026 21:57:04	96093	87766	112.98375
6/27/2026 21:57:08	96599	88105	103.3158214
6/27/2026 21:57:11	96418	88067	110.1051786
6/27/2026 21:57:14	95428	87671	91.24
6/27/2026 21:57:17	99427	89131	187.7275
6/27/2026 21:57:20	103319	90361	108.93
6/27/2026 21:57:22	103428	90476	108.93
6/27/2026 21:57:26	100995	89601	114.1930079
6/27/2026 21:57:29	103748	90433	148.4485714
6/27/2026 21:57:33	104077	90370	158.1871429
6/27/2026 21:57:35	94476	86559	126.03
6/27/2026 21:57:38	94082	86665	111.2303333
6/27/2026 21:57:41	95078	87172	126.03
6/27/2026 21:57:44	94047	86814	160.0590285
6/27/2026 21:57:47	91997	86017	195.7486905
6/27/2026 21:57:51	94880	87371	96.18833333
6/27/2026 21:57:53	93681	86992	90.66
6/27/2026 21:57:57	93336	86907	120.0953571
6/27/2026 21:58:00	93428	87006	120.0953571
6/27/2026 21:58:03	92220	86436	201.8216667
6/27/2026 21:58:07	92193	86414	201.8216667
6/27/2026 21:58:10	91690	86187	136.23
6/27/2026 21:58:12	92875	86748	151.447381
6/27/2026 21:58:15	90992	85890	98.18
6/27/2026 21:58:18	91978	86358	142.55
6/27/2026 21:58:20	92246	86448	201.8216667
6/27/2026 21:58:23	93033	86818	117.8375
6/27/2026 21:58:27	91798	86267	142.43
6/27/2026 21:58:29	91686	86231	104.37
6/27/2026 21:58:32	92064	86463	142.55
6/27/2026 21:58:35	88376	84602	130.0611439
6/27/2026 21:58:39	91486	85916	142.55
6/27/2026 21:58:42	93902	87061	94.784
6/27/2026 21:58:44	92632	86650	195.7486905
6/27/2026 21:58:47	92468	86622	139.3816667
6/27/2026 21:58:50	90697	85945	108.71
6/27/2026 21:58:54	92580	86876	146.7916667
6/27/2026 21:58:58	92731	86826	141.0166667
6/27/2026 21:59:00	90727	85995	86.31
6/27/2026 21:59:03	90660	86120	83.84
6/27/2026 21:59:06	91069	86368	93.27
6/27/2026 21:59:09	92530	86974	136.23
6/27/2026 21:59:13	94291	87781	119.6928571
6/27/2026 21:59:16	91766	86628	100.63
6/27/2026 21:59:19	92492	87045	101.88
6/27/2026 21:59:22	93119	87291	203.8616667
6/27/2026 21:59:25	92331	86876	105.31
6/27/2026 21:59:28	94457	87713	90.66
6/27/2026 21:59:31	94310	87658	86.67
6/27/2026 21:59:34	94152	87639	119.6928571
6/27/2026 21:59:37	95186	88094	98.33
6/27/2026 21:59:41	95469	88089	160.0590285
6/27/2026 21:59:44	94858	87987	83.974
6/27/2026 21:59:47	94821	87972	83.974
6/27/2026 21:59:50	93498	87343	151.447381
6/27/2026 21:59:53	93560	87412	151.447381
6/27/2026 21:59:56	93091	87339	146.7916667
6/27/2026 21:59:59	92901	87200	142.55
6/27/2026 22:00:02	94308	87664	88.38
6/27/2026 22:00:05	93428	87457	147.5366667
6/27/2026 22:55:41	112531	98780	168.9225
6/27/2026 22:55:44	115762	102190	188.41
6/27/2026 22:55:48	114244	101538	90.51919048
6/27/2026 22:55:51	114519	102760	317.84
6/27/2026 22:55:54	113389	102231	149.89
6/27/2026 22:55:57	113301	102295	184.67
6/27/2026 22:56:00	110506	99954	338.78
6/27/2026 22:56:04	109526	97976	90.52
6/27/2026 22:56:07	108422	97882	184.67
6/27/2026 22:56:10	109574	98337	342.97
6/27/2026 22:56:13	109176	98228	188.15
