,,
Date and time,IR,RED
6/27/2026 21:49:54,262143,262143
6/27/2026 21:49:57,262143,262143
6/27/2026 21:50:01,262143,262143
6/27/2026 21:50:04,262143,262143
6/27/2026 21:50:07,262143,262143
6/27/2026 21:50:09,262143,262143
6/27/2026 21:50:12,262143,262143
6/27/2026 21:50:16,262143,262143
6/27/2026 21:50:19,262143,262143
6/27/2026 21:50:21,262143,262143
6/27/2026 21:50:24,262143,262143
6/27/2026 21:50:27,262143,262143
6/27/2026 21:50:31,262143,262143
6/27/2026 21:50:34,262143,262143
6/27/2026 21:50:36,262143,262143
6/27/2026 21:50:40,262143,262143
6/27/2026 21:50:43,262143,262143
6/27/2026 21:50:47,262143,262143
6/27/2026 21:50:50,262143,262143
6/27/2026 21:50:53,262143,262143
6/27/2026 21:50:56,262143,262143
6/27/2026 21:51:02,262143,262143
6/27/2026 21:51:05,262143,262143
6/27/2026 21:51:08,262143,262143
6/27/2026 21:51:11,262143,262143
6/27/2026 21:51:14,262143,262143
6/27/2026 21:51:17,262143,262143
6/27/2026 21:51:19,262143,262143
6/27/2026 21:51:22,262143,262143
6/27/2026 21:51:25,262143,262143
6/27/2026 21:51:29,262143,262143
6/27/2026 21:51:32,262143,262143
6/27/2026 21:51:35,262143,262143
6/27/2026 21:51:38,262143,262143
6/27/2026 21:51:41,262143,262143
6/27/2026 21:51:45,262143,262143
6/27/2026 21:51:49,262143,262143
6/27/2026 21:51:52,262143,262143
6/27/2026 21:51:55,262143,262143
6/27/2026 21:51:58,262143,262143
6/27/2026 21:52:12,262143,262143
6/27/2026 21:52:15,262143,262143
6/27/2026 21:52:18,262143,262143
6/27/2026 21:52:21,262143,262143
6/27/2026 21:52:24,262143,262143
6/27/2026 21:52:27,262143,262143
6/27/2026 21:52:30,262143,262143
6/27/2026 21:55:02,262143,262143
6/27/2026 21:55:06,262143,262143
6/27/2026 21:55:10,262143,262143
6/27/2026 21:55:13,80488,112963
6/27/2026 21:55:16,262143,262143
6/27/2026 21:55:19,262143,262143
6/27/2026 21:55:22,262143,262143
6/27/2026 21:55:25,262143,262143
6/27/2026 21:55:28,262143,262143
6/27/2026 21:55:31,262143,262143
6/27/2026 21:55:34,262143,262143
6/27/2026 21:55:36,262143,262143
6/27/2026 21:55:39,262143,262143
6/27/2026 21:55:42,262143,262143
6/27/2026 21:56:08,79103,86476
6/27/2026 21:56:11,98855,88458
6/27/2026 21:56:15,100944,89264
6/27/2026 21:56:18,99634,88891
6/27/2026 21:56:22,99536,88893
6/27/2026 21:56:25,96806,87767
6/27/2026 21:56:28,99665,88933
6/27/2026 21:56:31,97536,88091
6/27/2026 21:56:34,95599,87350
6/27/2026 21:56:37,95243,87076
6/27/2026 21:56:40,98073,88369
6/27/2026 21:56:44,100318,89177
6/27/2026 21:56:47,98758,88808
6/27/2026 21:56:49,95674,87298
6/27/2026 21:56:52,97034,88173
6/27/2026 21:56:55,97395,88355
6/27/2026 21:56:58,94656,87200
6/27/2026 21:57:01,94544,87278
6/27/2026 21:57:04,96093,87766
6/27/2026 21:57:08,96599,88105
6/27/2026 21:57:11,96418,88067
6/27/2026 21:57:14,95428,87671
6/27/2026 21:57:17,99427,89131
6/27/2026 21:57:20,103319,90361
6/27/2026 21:57:22,103428,90476
6/27/2026 21:57:26,100995,89601
6/27/2026 21:57:29,103748,90433
6/27/2026 21:57:33,104077,90370
6/27/2026 21:57:35,94476,86559
6/27/2026 21:57:38,94082,86665
6/27/2026 21:57:41,95078,87172
6/27/2026 21:57:44,94047,86814
6/27/2026 21:57:47,91997,86017
6/27/2026 21:57:51,94880,87371
6/27/2026 21:57:53,93681,86992
6/27/2026 21:57:57,93336,86907
6/27/2026 21:58:00,93428,87006
6/27/2026 21:58:03,92220,86436
6/27/2026 21:58:07,92193,86414
6/27/2026 21:58:10,91690,86187
6/27/2026 21:58:12,92875,86748
6/27/2026 21:58:15,90992,85890
6/27/2026 21:58:18,91978,86358
6/27/2026 21:58:20,92246,86448
6/27/2026 21:58:23,93033,86818
6/27/2026 21:58:27,91798,86267
6/27/2026 21:58:29,91686,86231
6/27/2026 21:58:32,92064,86463
6/27/2026 21:58:35,88376,84602
6/27/2026 21:58:39,91486,85916
6/27/2026 21:58:42,93902,87061
6/27/2026 21:58:44,92632,86650
6/27/2026 21:58:47,92468,86622
6/27/2026 21:58:50,90697,85945
6/27/2026 21:58:54,92580,86876
6/27/2026 21:58:58,92731,86826
6/27/2026 21:59:00,90727,85995
6/27/2026 21:59:03,90660,86120
6/27/2026 21:59:06,91069,86368
6/27/2026 21:59:09,92530,86974
6/27/2026 21:59:13,94291,87781
6/27/2026 21:59:16,91766,86628
6/27/2026 21:59:19,92492,87045
6/27/2026 21:59:22,93119,87291
6/27/2026 21:59:25,92331,86876
6/27/2026 21:59:28,94457,87713
6/27/2026 21:59:31,94310,87658
6/27/2026 21:59:34,94152,87639
6/27/2026 21:59:37,95186,88094
6/27/2026 21:59:41,95469,88089
6/27/2026 21:59:44,94858,87987
6/27/2026 21:59:47,94821,87972
6/27/2026 21:59:50,93498,87343
6/27/2026 21:59:53,93560,87412
6/27/2026 21:59:56,93091,87339
6/27/2026 21:59:59,92901,87200
6/27/2026 22:00:02,94308,87664
6/27/2026 22:00:05,93428,87457
6/27/2026 22:55:41,112531,98780
6/27/2026 22:55:44,115762,102190
6/27/2026 22:55:48,114244,101538
6/27/2026 22:55:51,114519,102760
6/27/2026 22:55:54,113389,102231
6/27/2026 22:55:57,113301,102295
6/27/2026 22:56:00,110506,99954
6/27/2026 22:56:04,109526,97976
6/27/2026 22:56:07,108422,97882
6/27/2026 22:56:10,109574,98337
6/27/2026 22:56:13,109176,98228
6/27/2026 22:56:16,111056,99000
6/27/2026 22:56:20,112758,99706
6/27/2026 22:56:24,113505,99893
6/27/2026 22:56:30,111407,99187
6/27/2026 22:56:34,110440,98835
6/27/2026 22:56:37,110369,98753
6/27/2026 22:56:40,110821,98813
6/27/2026 22:56:43,108372,97973
6/27/2026 22:56:47,110322,98594
6/27/2026 22:56:50,110966,98946
6/27/2026 22:56:53,110188,98653
6/27/2026 22:56:56,108604,98069
6/27/2026 22:56:59,110167,98732
6/27/2026 22:57:03,113832,99882
6/27/2026 22:57:07,113938,100019
6/27/2026 22:57:11,113931,99651
6/27/2026 22:57:14,114789,100605
6/27/2026 22:57:17,113202,100000
6/27/2026 22:57:20,112810,99990
6/27/2026 22:57:25,112900,100046
6/27/2026 22:57:28,114175,100511
6/27/2026 22:57:32,113760,100568
6/27/2026 22:57:35,112669,100270
6/27/2026 22:57:38,112571,100299
6/27/2026 22:57:41,113430,100549
6/27/2026 22:57:44,112841,100403
6/27/2026 22:57:47,114091,100809
6/27/2026 22:57:50,111268,99771
6/27/2026 22:57:54,111044,99673
6/27/2026 22:57:57,110768,99591
6/27/2026 22:58:00,111878,100029
6/27/2026 22:58:03,112194,100179
6/27/2026 22:58:07,111861,99991
6/27/2026 22:58:10,111948,100043
6/27/2026 22:58:12,109778,99175
6/27/2026 22:58:15,112453,100287
6/27/2026 22:58:18,110069,99432
6/27/2026 22:58:22,111310,99790
6/27/2026 22:58:26,110775,99661
6/27/2026 22:58:29,113245,100527
6/27/2026 22:58:32,113434,100760
6/27/2026 22:58:34,112941,100608
6/27/2026 22:58:37,112075,100292
6/27/2026 22:58:40,111168,99923
6/27/2026 22:58:43,111133,99851
6/27/2026 22:58:47,109908,99360
6/27/2026 22:58:50,111132,99801
6/27/2026 22:58:53,110518,99522
6/27/2026 22:58:56,109594,99145
6/27/2026 22:58:59,109946,99327
6/27/2026 22:59:02,111712,100010
6/27/2026 22:59:06,110327,99510
6/27/2026 22:59:10,111638,100053
6/27/2026 22:59:13,111219,99822
6/27/2026 22:59:16,111688,99963
6/27/2026 22:59:19,111653,99937
6/27/2026 22:59:22,110412,99597
6/27/2026 22:59:26,109578,99300
6/27/2026 22:59:29,110930,99738
6/27/2026 22:59:32,113356,100603
6/27/2026 22:59:35,114792,101197
6/27/2026 22:59:38,116346,101876
6/27/2026 22:59:41,117398,102171
6/27/2026 22:59:44,115853,101698
6/27/2026 22:59:47,114337,101148
6/27/2026 22:59:50,115017,101047
6/27/2026 22:59:53,114538,100906
6/27/2026 22:59:56,113784,100614
6/27/2026 22:59:59,113858,100531
6/27/2026 23:00:02,116333,101765
6/27/2026 23:00:05,116664,102199
6/27/2026 23:00:08,117483,102746
6/27/2026 23:00:11,115389,101846
6/27/2026 23:00:14,115417,101824
6/27/2026 23:00:17,113458,100987
6/27/2026 23:00:20,113952,101126
6/27/2026 23:00:23,108949,94494
6/27/2026 23:00:25,112643,98275
6/27/2026 23:00:29,111578,98437
6/27/2026 23:00:33,112058,98707
6/27/2026 23:00:35,108506,97497
6/27/2026 23:00:38,107825,97323
6/27/2026 23:00:41,108276,97648
6/27/2026 23:00:45,110135,98487
6/27/2026 23:00:48,107815,97739
6/27/2026 23:00:51,111201,99117
6/27/2026 23:00:54,110644,99145
6/27/2026 23:00:57,114286,100316
6/27/2026 23:01:00,113143,99977
6/27/2026 23:01:03,112238,99762
6/27/2026 23:01:06,111575,99566
6/27/2026 23:01:10,110499,99188
6/27/2026 23:01:13,109207,98735
6/27/2026 23:01:17,114871,100853
6/27/2026 23:01:20,114022,100826
6/27/2026 23:01:23,113070,100575
6/27/2026 23:01:26,111840,100221
6/27/2026 23:01:29,111850,99750
6/27/2026 23:01:37,87605,78186
6/27/2026 23:01:41,118406,104422
6/27/2026 23:01:44,119006,104528
6/27/2026 23:01:48,120037,105583
6/27/2026 23:01:52,106037,93524
6/27/2026 23:01:55,110491,95731
6/27/2026 23:01:58,110982,96111
6/27/2026 23:02:01,108685,95331
6/27/2026 23:02:04,110571,96221
6/27/2026 23:02:07,110116,96106
6/27/2026 23:02:10,110780,96328
6/27/2026 23:02:14,111030,96505
6/27/2026 23:02:18,111545,96695
6/27/2026 23:02:21,113340,97266
6/27/2026 23:02:26,112797,96932
6/27/2026 23:02:29,112399,96848
6/27/2026 23:02:32,112890,97066
6/27/2026 23:02:35,112446,96823
6/27/2026 23:02:38,112112,96717
6/27/2026 23:02:41,113388,97113
6/27/2026 23:02:44,114973,97728
6/27/2026 23:02:47,114387,97584
6/27/2026 23:02:50,113059,97262
6/27/2026 23:02:54,113391,97440
6/27/2026 23:02:57,112279,97095
6/27/2026 23:03:00,112166,97173
6/27/2026 23:03:04,113732,97760
6/27/2026 23:03:07,111804,97099
6/27/2026 23:03:10,110426,96442
6/27/2026 23:03:13,109679,96262
6/27/2026 23:03:15,110815,96660
6/27/2026 23:03:19,108866,94599
6/27/2026 23:03:22,111703,96234
6/27/2026 23:03:25,113048,96748
6/27/2026 23:03:28,111545,96025
6/27/2026 23:03:30,110562,95704
6/27/2026 23:03:33,111121,96116
6/27/2026 23:03:36,112297,96635
6/27/2026 23:03:39,111517,96403
6/27/2026 23:03:42,112887,96696
6/27/2026 23:03:46,113919,96989
6/27/2026 23:03:48,113920,97003
6/27/2026 23:03:51,114076,97210
6/27/2026 23:03:54,112922,96648
6/27/2026 23:03:57,111645,96243
6/27/2026 23:04:00,112964,96555
6/27/2026 23:04:04,109825,95514
6/27/2026 23:04:07,109206,95284
6/27/2026 23:04:10,110279,95873
6/27/2026 23:04:13,111278,96213
6/27/2026 23:04:16,112409,96670
